thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,calibration.started,mouse_2.started,polygon_2.started,calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.corr,trial.started,mouse.started,polygon.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.783368826,-0.025,-0.093333333,0.280015648,-1.838325911,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.792334795,-0.028333333,-0.095,0.299208143,-2.278622167,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.802302361,-0.028333333,-0.096666667,0.216767606,-2.259539124,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.810275793,-0.028333333,-0.096666667,0.144211193,-2.370586975,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.821238995,-0.028333333,-0.096666667,0.386640158,-2.250949853,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.831204891,-0.028333333,-0.09,0.098976063,-2.253641472,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.843166351,-0.028333333,-0.08,0.165483558,-2.925570203,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.850148916,-0.03,-0.071666667,0.147068228,-2.663239419,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.859114647,-0.03,-0.07,0.472196879,-3.141103317,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.869078636,-0.03,-0.068333333,0.571554522,-3.108116563,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.880045652,-0.03,-0.068333333,0.732474832,-2.928800289,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.889017582,-0.03,-0.068333333,0.527753768,-2.700905887,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.898977995,-0.03,-0.068333333,0.514524018,-2.874328358,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.907948256,-0.03,-0.068333333,-0.169693817,-3.193588213,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.916922092,-0.03,-0.068333333,-0.047308962,-3.114454043,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.925890684,-0.03,-0.07,-0.028033501,-2.991768948,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
